name,max seats,price per plate,stars,views,min seats,region
amnience banquet ,500,599,3.8,392,200,south west delhi
plum by bent chair areoity ,150,1500,4,418,10,west delhi
hotel green lotus,500,750,3.9,255,100,south west delhi
sandoz,120,700,4.5,96,10,south east delhi
mystique melange,150,1250,3,199,100,north west delhi
mystique melange,90,1250,3,105,30,north west delhi
red chilli kitchen,180,1200,2,120,90,west delhi
red chilli kitchen,100,12000,2,77,50,west delhi
red fox hotel ,100,1000,3,487,40,east delhi
red fox hotel ,100,1000,3,307,40,east delhi
the cage cafe ,80,550,2,37,25,east delhi 
radisson blu hotel ,200,2600,4.5,3611,15,west delhi
moonshine cafe and bar ,300,1000,3.5,5525,5,south delhi
irezumi,50,900,2.5,2032,4,central delhi
taste of china ,250,800,3.5,1873,5,central delhi
clarks inn ,150,850,3.5,1658,30,south east delhi
daawat restaurant ,50,750,2,10,20,east delhi 
hotel hari piorko ,50,500,3,1179,10,central delhi
chor bizarre,30,600,4,1955,3,central delhi
hotel regale inn ,60,650,3.7,1824,3.7,south east delhi
my bar restaurant,100,700,3,922,2,central delhi
hotel city park ,50,1200,3,1038,1,south west delhi
stapler lounge and bar ,50,700,3,697,5,central delhi
kaafila ,50,700,3.7,439,4,east delhi
chawalas tandoori junction,100,1000,3,1770,20,east delhi
kaanch ,120,850,3,2772,30,east delhi
old worlds charm,80,650,3,3,20,west delhi
wha ji wah ,70,500,3,44,5,east delhi
summer house cafe,30,1800,3,757,1,south delhi
utopia ,100,1000,3,330,10,north west delhi 
dsoi dhaula kuan ,500,800,2,1505,50,south west delhi
haldirams ,100,500,3,2167,10,south west delhi
vinayak restaurant,60,350,3.7,1839,10,north east delhi
flaming chilli pepper,15,400,3,1287,10,south west delhi 
cinnabon,30,250,4,1494,10,south west delhi 
kabooze ,100,1400,4,888,2,south delhi
qla,50,1500,3,714,3,south delhi
surahi the veg kitchen and bar ,120,500,3.5,959,4,north east delhi
cafe me diner ,30,700,4.1,107,10,south west delhi
pind balluchi ,100,500,3,1786,15,south delhi 
flyp cafe ,50,2200,3,1167,1,central delhi
chopaan kebab ,50,700,3,257,2,south east delhi
dilhush restaurant,50,750,3,2467,10,west delhi
villan cafe ,300,1050,3.9,367,20,west delhi
rpm max,100,1000,3,1353,3,south west delhi 
chilis grill and bar ,100,500,3,1377,10,south west delhi
the grand hotel,60,1000,4,823,4,south west delhi
haze,400,600,3,1999,30,west delhi
excuse me boss,130,1400,3,2041,2,south delhi
metro restaurant and party hall,200,600,3,1445,5,south west delhi
edesia,40,800,3,1442,10,south east delhi
radisson blu plaza,60,1500,4,527,3,south west delhi
eros hotel,30,450,3,1004,4,south east delhi
shekaza restaurant ,50,600,4.1,236,10,south delhi
shree rathnam,130,350,3,1470,2,north west delhi
wrong turn club ,100,1300,4,1899,5,south delhi
headphones gk,100,600,3,1520,4,south delhi
lit bar and ristorante,120,1200,4,783,3,south delhi
indian accent,70,2000,3,1197,10,south delhi
levels hkv,80,1000,4,1362,2,south delhi
united coffee house,50,1000,3,1168,10,central delhi
hotel rangoli ,60,650,4,1309,1,west delhi
barsoom,150,1200,3,1230,2,south delhi
southy,25,300,3,1118,25,south delhi
unlimited food factory,150,550,4,659,10,east delhi
moti mahal delux,40,350,3,1284,10,west delhi
sankalp restaurant,60,204,3.9,204,3,north west delhi
mosiac ,40,700,3,1599,4,west delhi
spice court,80,550,3,680,5,south west delhi
alaturka doner kebab and falafel,20,300,3,1500,5,south delhi
m.s.k residency ,178,700,3,1221,4,south west delhi
taksim,100,1500,4,624,3,south west delhi 
3 ants restaurant and bar,75,900,3,1368,15,west delhi
kali ghata party hall ,180,750,4,813,10,south west delhi
mia bella,150,1000,4,2972,2,south delhi
sagar ratna ,40,250,2,2037,1,south delhi 
impertecto ruin pub,100,1800,4,942,2,south delhi
lights camera action ,1300,1300,4,1056,3,west delhi
khan chacha restaurant ,50,350,3,1266,10,south east delhi
boombox cafe reloaded ,150,1400,4,760,4,west delhi
the royal plaza ,80,1000,4,634,5,north east delhi
urban karahi restaurant ,70,550,3,3325,4,north west delhi
foody cafe lounge ,40,400,3.8,237,3,south west delhi
tavern on the green ,1000,1500,4,1920,40,south delhi
mainis green leaf ,180,500,4,866,3,north east delhi
farzi cafe ,120,1100,4,1409,2,central delhi
club lepid,150,1000,3,951,1,south west delhi
qubitos ,200,900,2,5,40,west delhi
cafe hawkers,100,900,3,28,20,central delhi
shudh  vegitarian food court ,80,600,3.8,79,10,central delhi
villa del ,150,1200,3,250,20,south delhi
sixth empirica ,120,1300,4,2120,10,west delhi
gola westend,70,900,3,1536,20,west delhi
oh my god cafe ,100,1200,3,651,5,central delhi
eros hotel,120,2000,4,1099,4,south east delhi
the immigrant cafe,30,1500,4,313,10,central delhi
khurana restaurant,60,400,4,136,10,central delhi
fresc co,100,600,3,1143,10,central delhi
mazaar,30,400,3,1854,15,south east delhi
zo cafe and kitchen ,100,750,4,1088,3,south delhi
